"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"78","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 11:03:42,FALSE,NA,"872046333921644544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeevanBafna",27,TRUE,FALSE,NA,NA
"79","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 10:57:26,FALSE,NA,"872044754959085568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JaiJinen",27,TRUE,FALSE,NA,NA
"80","RT @TelecomTalk: Idea Cellular Partners With OYO Rooms Allowing Customers to Book Hotels via Idea Money https://t.co/auhtrQkgH1",FALSE,0,NA,2017-06-06 10:10:32,FALSE,NA,"872032954184331264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sonijkn2",1,TRUE,FALSE,NA,NA
"81","#riteshagar if any want insult and wastage of money. pls stay in OYO rooms. OYO operations team not capable . even escalated to company CEO",FALSE,1,NA,2017-06-06 10:00:38,FALSE,NA,"872030461232590849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AjayNrnl",0,FALSE,FALSE,NA,NA
"82","@ideacellular and @oyorooms creates partnership, user can book Oyo at Idea Money Retailer #WorldClassin

Read more… https://t.co/XiK2gPpuhO",FALSE,0,"ideacellular",2017-06-06 09:25:55,TRUE,NA,"872021725835403265","51661882","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","telecomGyaan",0,FALSE,FALSE,NA,NA
"83","Now You Can Book OYO Rooms Using Idea Money - TeleAnalysis

TeleAnalysis

Now You Can Book OYO Rooms Using Idea Mo… https://t.co/si2qKNV6tL",FALSE,0,NA,2017-06-06 09:14:26,FALSE,NA,"872018835716571136",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TSIUSA",0,FALSE,FALSE,NA,NA
"84","Now You Can Book OYO Rooms Using Idea Money https://t.co/kKtUCmWhtQ",FALSE,0,NA,2017-06-06 08:57:28,FALSE,NA,"872014565114093568",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","teleanalysis",0,FALSE,FALSE,NA,NA
"85","@makemytrip @oyorooms Oyo rooms 8226 patna. No assurance for unmarried couple. Trust issue with oyo",FALSE,0,"prashant82856",2017-06-06 08:54:14,FALSE,"872013548397801473","872013754573004800","863362732946579458","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","prashant82856",0,FALSE,FALSE,NA,NA
"86","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 08:51:11,FALSE,NA,"872012985895714816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yashkumar93",27,TRUE,FALSE,NA,NA
"87","@oyorooms..booked rooms thru OYO and found that the price charged was Exhorbiant and on higher side.Can share pics of hotel also",FALSE,1,"oyorooms",2017-06-06 07:56:18,FALSE,NA,"871999172312006657","1664721896","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ruchirpradhan",0,FALSE,FALSE,NA,NA
"88","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 07:47:30,FALSE,NA,"871996956561690625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DineshDoshiBLR",27,TRUE,FALSE,NA,NA
"89","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 07:43:24,FALSE,NA,"871995924947410944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","777srikri1",27,TRUE,FALSE,NA,NA
"90","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 07:37:41,FALSE,NA,"871994489023250432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bafnajeevan",27,TRUE,FALSE,NA,NA
"91","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 07:32:55,FALSE,NA,"871993288043057153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babloooochandan",27,TRUE,FALSE,NA,NA
"92","RT @sanjaybafna: Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,0,NA,2017-06-06 07:30:41,FALSE,NA,"871992727348563968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhigyanbafna",27,TRUE,FALSE,NA,NA
"93","Idea Cellular Partners With OYO Rooms allowing its customers to Book Hotels and Pay via Idea Money. #DigitalPayment",FALSE,34,NA,2017-06-06 07:23:25,FALSE,NA,"871990898418221056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjaybafna",27,FALSE,FALSE,NA,NA
"94","RT TelecomTalk ""Idea Cellular Partners With OYO Rooms Allowing Customers to Book Hotels via Idea Money https://t.co/EiqCuNfWcD""",FALSE,0,NA,2017-06-06 07:23:25,FALSE,NA,"871990896564334592",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","rvp",0,FALSE,FALSE,NA,NA
"95","Idea Cellular Partners With OYO Rooms Allowing Customers to Book Hotels via Idea Money https://t.co/auhtrQkgH1",FALSE,5,NA,2017-06-06 07:21:34,FALSE,NA,"871990430405083136",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","TelecomTalk",1,FALSE,FALSE,NA,NA
"96","Idea Cellular Partners With OYO Rooms Allowing Customers to Book Hotels via Idea Money https://t.co/BGVlXW46DN",FALSE,0,NA,2017-06-06 07:21:33,FALSE,NA,"871990429612335110",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","anirban4you",0,FALSE,FALSE,NA,NA
"97","#Flat30%discount #oyorooms #yesbank #debitcards #creditcards #banks #hotels #bookings #thebank #info #thebankinfo… https://t.co/CxSUn1sm1A",FALSE,0,NA,2017-06-06 06:51:53,TRUE,NA,"871982963642249216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bank_bankinfo29",0,FALSE,FALSE,NA,NA
"98","@FarOutAkhtar Looking for a hospitality partnership with Excel for your upcoming projects. It will be an honour for OYO Rooms.",FALSE,0,"FarOutAkhtar",2017-06-06 06:20:26,FALSE,NA,"871975048302776320","97865628","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Swati_63",0,FALSE,FALSE,NA,NA
"99","@eriktorenberg One I've also been impressed with is OYO rooms in India (standardized brand from small-medium sized… https://t.co/AYKfk84pof",FALSE,1,"nikillinit",2017-06-05 21:48:21,TRUE,"871846026671423489","871846176798232576","1734045566","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nikillinit",0,FALSE,FALSE,NA,NA
"100","@OYO4U Dear Dilbagh Singh ,
Thanks for booking with OYO Rooms. Your Booking ID VSNO6429 stands confirmed.",FALSE,0,"OYO4U",2017-06-05 19:32:53,FALSE,"871806736633483264","871812085746880512","3318485400","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PammiSardar",0,FALSE,FALSE,NA,NA
"101","Oyo Rooms Railway Station East https://t.co/jIO4TNuDcL #hotels",FALSE,0,NA,2017-06-05 18:50:53,FALSE,NA,"871801516411109378",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","jimmycouts",0,FALSE,FALSE,NA,NA
"102","Oyo Rooms Railway Station East https://t.co/JjtEj2UGSy #hotels",FALSE,0,NA,2017-06-05 18:50:53,FALSE,NA,"871801514775298048",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","BizPlanEx",0,FALSE,FALSE,NA,NA
"103","Oyo Rooms Railway Station East https://t.co/usEhMaxoLC #hotels",FALSE,0,NA,2017-06-05 18:50:52,FALSE,NA,"871801513475166209",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","winnviewdotcom",0,FALSE,FALSE,NA,NA
"104","#OYO: Get A Hassle Free Stay. Book A Room Now https://t.co/x1rBq2JWBe https://t.co/CnL0mdcpvf",FALSE,0,NA,2017-06-05 15:25:03,FALSE,NA,"871749718614966273",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","promocodeclub",0,FALSE,FALSE,NA,NA
"105","https://t.co/kVf7VqB0FH
Written Test (1 hour and we had... https://t.co/YldprbhUEB",FALSE,1,NA,2017-06-05 14:38:06,FALSE,NA,"871737900156592128",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","geeksforgeeks",0,FALSE,FALSE,NA,NA
"106","RT @dipalit: @padhiyarjignesh @makemytrip @makemytripcare @Bhatt_Vishal @adhirasy @BadhirAmdavadi @makemytrip IBIS Hotel chains are cheaper…",FALSE,0,NA,2017-06-05 11:38:59,FALSE,NA,"871692824240037889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","padhiyarjignesh",1,TRUE,FALSE,NA,NA
"107","@padhiyarjignesh @makemytrip @makemytripcare @Bhatt_Vishal @adhirasy @BadhirAmdavadi @makemytrip IBIS Hotel chains… https://t.co/P00CJ22DXj",FALSE,0,"padhiyarjignesh",2017-06-05 11:37:37,TRUE,"871667822799310848","871692481217298432","170679718","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dipalit",1,FALSE,FALSE,NA,NA
"108","Try out the OYO Rooms App and get <U+20B9>1000 worth OYO Money.  Download link: https://t.co/kw4pgmwt9y referral code: RAJAKU6JL",FALSE,0,NA,2017-06-05 09:25:20,FALSE,NA,"871659191538040832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Somesh32830140",0,FALSE,FALSE,NA,NA
"109","Try out the OYO Rooms App and get <U+20B9>1000 worth OYO Money.  Download link: https://t.co/2sW3P5ywXc referral code: SUBIUKAPU",FALSE,0,NA,2017-06-05 06:44:21,FALSE,NA,"871618677027856385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","singh_subir",0,FALSE,FALSE,NA,NA
"110","Try out the OYO Rooms App and get free OYO Money. https://t.co/6O0pjgH7t5",FALSE,0,NA,2017-06-05 06:44:13,FALSE,NA,"871618646791122945",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","singh_subir",0,FALSE,FALSE,NA,NA
